language_id,value,suggestion
1,અકબંધ,k.bn.d˙
1,અકડાવું,k.Îa.vu~
1,અકર્મક,.kr.m.k
1,અકસીર,k.sir
1,અકસ્માત,.ks.mat
1,અકસ્માતે,.ks.ma.te
1,અકળામણ,k.Æa.m¯
1,અકળાવું,k.Æa.vu~
1,અક્‌કડ ્ર્‌ક.ક્‌.૬,k.k.Î/ <
1,અક્‌કરમી,k.kr.mi
1,અક્ષય,k.kl
1,અક્ષર,k.ß.t
1,અક્ષરશ,k.ß.r.ß.h
1,અક્ષાંશ,k.ßa~.ß
1,અ ંખડ,.k˙¯.Î
1,અ ંખંડિત,.k˙¯.Îit
1,અખતરો,.k˙t.ro
1,અખબાર,k˙.bar
1,અખાડો,.k˙a.Îo
1,અખાત,.k˙at
1,અગણિત,.g.¯it
1,અગણોતર,.g.¯o.tr
1,અગણ્યાશી,.g.¯ja.ßi
1,અગત્ય,.gt.j
1,અગત્યતા,.gt.j.ta
1,અગમ ચેતી,.gm.ce.ti
1,અગમ વાણી,.gm.va.¯i
1,અગમ્ય,.gm.j
1,અગરબત્તી,.gr.bt.ti
1,અગવડ,g.vÎ
1,અગાઉ,.ga.u~
1,અગાઉની,.ga.u~.ni
1,અગાઉથી,.ga.u.t˙i
1,અગાસી,.ga.si
1,અગિયાર,.gi.jar
1,અગિયારમું,.gi.jar.mu~
1,અગિયારસ,.gi.ja.rs
1,અગિયારી,.gi.ja.ri
1,અગોચર,.go.cr
1,અગ્નિ,g.ni
1,અગ્નિદાહ,g.ni.dah
1,અગ્નિસંસ્કાર,g.ni.sam.ska.r
1,અઘટિત,.g˙.ˇit
1,અઘરું,.g˙.ru~
1,અચંબો,.cm.bo
1,અચાનક,.ca.nk
1,અચૂક,.cuk
1,અછત,.c˙t
1,અછતું,.c˙.tu~
1,અછબડા,.c˙b.Îa
1,અછૂત,.c˙ut
1,અછોડો,.c˙o.Îo
1,અજગર,Ô.gr
1,અજબ,.Ôb
1,અજમાવવું,Ô.mav.vu~
1,અજમો,Ô.mo
